Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Subject_tx,x
control_3,pc2,0.23446208848549827,0.7607017446161853,-0.019905766765534915,-11.855876523679578,10,15.054352692339807,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3']","[-0.0016625328418740427, -0.0005576254400262613, -0.03513726166584569, -0.03047382092874316, 0.07680277814744282, 0.00538711135071443, -0.008132063249232248, -0.12987137339590524, -0.0728600136349851, -0.008323963477167004]"
control_3,pc3,0.2208340913676055,0.24792528446322343,-0.08868673866425172,-12.813934638091409,10,14.898933555232531,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3', 'control_3']","[-0.0054997048270253755, 0.05629895831500317, 0.02527201690692183, 0.0011359531518964142, -0.023493553014575626, -0.03464195033295256, -0.14090178835872286, -0.08896182612083955, -0.13318142404499145, -0.11319087340197607]"
control_4,pc1,0.19728446496461086,0.3377312856596741,0.0072251406174299,-14.618124783876207,10,14.635475635323248,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4']","[0.007254881679835667, -0.011578353792983855, 0.09555153957662607, 0.1193729485764094, 0.08592103523333267, 0.06699716118825531, 0.032663838403596754, -0.011159004145669185, 0.05696310582275853, -0.019278590557972305]"
control_4,pc2,0.2807214248621257,0.133321972283179,-0.13138482335405893,-8.974831814129455,10,15.61115161034801,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4']","[-0.006765969195865997, -0.0719959644831805, 0.05969887381491469, 0.1187734302948023, 0.2106609105295088, 0.1665706609388711, 0.08496301599114381, -0.002148524787209047, -0.14385647458747547, -0.08024990066262094]"
control_4,pc3,0.2758690297636798,0.47757078660693764,-0.015024704283198315,-9.253650706379599,10,15.549963710755613,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4', 'control_4']","[-0.006294234970724184, -0.031915130762039404, -0.010066593390011078, 0.07838701816951743, 0.06375449388700516, 0.12275707005376657, -0.007902454573856077, -0.08376608406381347, -0.17029924563543808, -0.03542522400872211]"
control_5,pc1,0.22611128277943734,0.3447175759991977,0.14702472058587585,-12.436197571082166,10,14.958777241803066,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5']","[0.000529576138930572, -9.773622863610827e-05, 0.033473925284355416, 0.09535135662151722, 0.05797324809855707, 0.1105959315511318, 0.20767035973984035, 0.23982125173979968, 0.14328774141888262, 0.13320794706015304]"
control_5,pc2,0.17856219821027802,1.1364519722941697,0.08980548171893643,-16.213520703953005,10,14.428308989001852,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5']","[0.0032789439437419256, 0.09306663432247779, 0.048484378248899784, 0.08208516496813079, 0.09684387442949134, 0.15110137955668956, 0.08830671341949117, 0.061686372459912535, 0.1186953738600779, 0.03593422943202172]"
control_5,pc3,0.18968915957547294,1.3664373813289559,-0.0104071855537077,-15.246321971788108,10,14.551323416427014,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5', 'control_5']","[-0.009349997717804351, -0.05377738207900618, -0.010208423355399253, -0.0487371831194019, 0.04936141066802772, -0.020975345757069407, -0.007103548631172503, 0.04432542565946442, -0.02144887206151195, -0.04656554946433361]"
control_6,pc1,0.2534912587594629,0.8696235832957371,-0.0825789755408426,-10.607260149565592,10,15.276922627124277,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6']","[-0.001967313962587942, -0.12021986976876678, -0.1786082942460007, -0.06538337271342673, -0.13887519454053066, -0.18404544405892165, -0.07514584122685894, -0.02149359188595433, 0.03919286782640408, -0.09019247467151012]"
control_6,pc2,0.2260948678784236,0.4507478571669232,-0.12281729010538905,-12.437381624336398,10,14.958586830403753,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6']","[0.00011035659345576488, 0.02202735200900968, -0.042614100074873, -0.13894690410606167, -0.20682497704271946, -0.10627693642601835, -0.09467793424664553, -0.11802585362569748, -0.1508550562027189, -0.12061509762219766]"
control_6,pc3,0.20535648683060304,0.41748691017491224,-0.03201705412234308,-13.97660335110972,10,14.725230515171262,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6', 'control_6']","[-0.00742931499802304, 0.008264953385249104, 0.033467918572000335, 0.06909465200299914, 0.028954536696714342, 0.0020464473799533048, -0.08660684211105696, -0.01987357389372782, -0.06802638230079666, -0.06896557798094631]"
control_7,pc1,0.2694482675036406,0.6551152812459579,0.16952703281246295,-9.63061696343707,10,15.470105418852523,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7']","[0.0001487885305873049, 0.09071829482411109, 0.10490717045938042, 0.129832029419828, 0.023274591954531604, 0.11923112411662977, 0.2635983533196812, 0.14556191444264366, 0.190209293273371, 0.26293093366060094]"
control_7,pc2,0.23126173923435905,0.5562576326943294,-0.024417155234863267,-12.07582280128345,10,15.01758932377962,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7']","[0.005374483735004276, -0.028813279323258164, -0.15225999303866003, -0.17057896883334228, -0.03965681035021462, -0.09685848859782067, 0.017345014931999456, -0.014240823250030628, 0.0263345717682677, 0.009426186662550032]"
control_7,pc3,0.2200070756365085,0.5473891468637586,-0.08002561115554863,-12.874124671790561,10,14.889561084836883,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7', 'control_7']","[0.0034251848094902005, 0.01739301699744916, 0.04775013706208951, -0.03348266553273327, 0.00589129440058897, -0.08501406466767479, -0.16582452761368888, -0.08105349984966059, -0.1032339364576535, -0.09138941142255302]"
control_8,pc1,0.20543066395495563,0.30984260388504414,0.055087363244095675,-13.97091198767347,10,14.726045093991015,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8']","[0.0028804338837922637, -0.003403733576774423, 0.07815279284360402, 0.02206996054316092, -0.005520351065569289, 0.01633573246144372, 0.015009155095191998, 0.09000565817052596, 0.15343916390629753, 0.10560870344702564]"
control_8,pc2,0.25298083298722024,0.6095472018985895,-0.0563820454832519,-10.639448029269438,10,15.270862788761036,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8']","[-0.007450248450632926, 0.0017415951739762191, 0.04512941744479105, 0.0356639798607521, 0.03606251023230169, -0.07344263439006932, -0.18617033929305243, -0.046618031912153884, -0.10831366404383275, -0.05299694013662727]"
control_8,pc3,0.25205639157546866,0.4860359817115648,0.14265711036072726,-10.698131674608675,10,15.259861767255742,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8', 'control_8']","[0.0007934611711590112, 0.05290697180580018, -0.01544726816979073, -0.012727514547173722, 0.14252116364637726, 0.1266684898682313, 0.21319253305288727, 0.24573685241249976, 0.1697497223243048, 0.06403280904496875]"
control_9,pc1,0.1698281968203768,0.20431365283018846,-0.21315113550357262,-17.01603660977751,10,14.331687541225975,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9']","[-0.0008729252671350208, -0.035377294822818366, 0.05252754126655831, 0.0320425916385172, -0.013195319737876895, -0.09215982974998016, -0.14679336335267243, -0.19719625688328696, -0.16623544321247832, -0.1527058783525407]"
control_9,pc2,0.16214808624232202,0.2722261036333147,0.1546434685985832,-17.756256864578475,10,14.246524093558051,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9']","[-0.0032588658543558236, -0.01490040850870071, -0.09939711632696509, -0.02186549604572416, 0.03394014294048664, 0.11191544738903697, 0.10595178058588021, 0.12407465289747505, 0.13922816067719151, 0.14269672369342778]"
control_9,pc3,0.27301798639209496,0.5253905690226555,0.13189410472470797,-9.419943107388814,10,15.514341901970589,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9', 'control_9']","[0.00927309625076378, 0.08867775790471755, 0.13655956690060014, 0.15082249184150373, 0.18040386299619895, 0.31534970591201744, 0.15535940953170665, 0.08894545748652226, 0.014656509196976197, 0.05914816795591249]"
control_10,pc1,0.24372219919330046,0.9759070337045119,-0.008058479169085728,-11.236104744236025,10,15.161735537203473,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10']","[0.0019848715171680077, 0.06670698076595977, 0.1004385110643594, -0.03757705609570129, -0.04137812938484433, 0.04173215797147115, 0.04989546110361043, 3.177306196682633e-05, -0.010251207124017923, -0.12954684531446362]"
control_10,pc2,0.20423436931489186,0.45589308835678355,0.20842202930038833,-14.064119286044699,10,14.71274635486936,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10']","[0.003958509887791122, 0.07715681158809676, 0.059100014012798435, 0.13506171413833734, 0.0895149454788411, 0.20700894470957593, 0.24747228384050843, 0.21662282123423657, 0.24039648792506563, 0.199374259257109]"
control_10,pc3,0.21811659120782523,0.6181971219740363,0.040054675207700424,-13.012081204953422,10,14.86824350126841,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10', 'control_10']","[-0.007908480337556282, 0.08541521336408614, 0.10563741512878823, 0.08846697726279164, 0.02885069967521909, -0.015681422000003234, -0.06490627153254896, 0.013949087917959818, 0.08127342036227675, 0.06842344567097727]"
control_11,pc1,0.268234580280794,0.5474154201637782,-0.027423211407197848,-9.702768916062597,10,15.45517739992216,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11']","[-0.004588689480354302, -0.05237991270838553, -0.010335740371830285, -0.004332267379433386, -0.010215395160331453, -0.07790194110695194, -0.17844899460661012, -0.06889382526185965, 0.08718674024439248, 0.0638141739683919]"
control_11,pc2,0.25424938831359567,0.6776707946590654,0.0927858360953408,-10.559526878944046,10,15.285943051711747,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11']","[0.004447541644284598, 0.038666952634816225, 0.04417455863210198, 0.0847349118119606, 0.07825073225107022, 0.20527828690522298, 0.13437544267993667, 0.14249097963010954, 0.11219296852398945, -0.033182393333594754]"
control_11,pc3,0.18156164167303346,0.6283938426372326,0.027977011190761118,-15.947041347464923,10,14.461453366864603,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11', 'control_11']","[-0.004756878030363356, 0.04122653278830409, 0.0005428688244478452, 0.019363668331308176, 0.02547734848278713, 0.046088407083241696, 0.06409905358606162, 0.058721806921657745, 0.02547352376187568, -0.052477304285576724]"
control_12,pc1,0.19065608750804447,1.0601569972834315,-0.04301125333109146,-15.164976502512507,10,14.56202281663163,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12']","[0.0037125201527561224, -0.03752581118051975, -0.01137589008981011, -0.08338211769004408, -0.09189618913149807, 0.00938145268600303, -0.02415483409586172, -0.017826167553770887, -0.01638747263055296, -0.08904880919966018]"
control_12,pc2,0.24274639668682851,0.7682659365527995,-0.033678941426722564,-11.300279872977729,10,15.150345014136525,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12']","[-0.0005860587868110612, -0.012297370893763242, 0.006309885901391459, -0.039859308032151666, -0.11547147148336591, -0.022135373933928143, -0.12642144259355678, -0.05231045330019041, 0.018904056896775143, 0.0657602395704641]"
control_12,pc3,0.19001625961959245,0.8761889818770042,0.016333036957973696,-15.21875351498477,10,14.554943097506143,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12', 'control_12']","[0.0019523167587895585, 0.013009534583741945, 0.0015068890043168654, 0.037719753183374526, 0.04474338529342424, 0.03118070798969666, 0.04404747303638351, -0.01608814101601032, -0.0666233139906269, 0.03620903185866882]"
control_13,pc1,0.2171753628180937,0.8291234084074508,-0.04511375686552187,-13.081276284185055,10,14.857636166975192,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13']","[-0.001518152513222133, -0.06708172967582515, -0.1112858235938265, -0.05449485268834566, -0.02552638416785177, -0.05244994036790535, -0.1472784498828115, -0.051513855664938726, 0.020473819066499963, 0.006249798848277574]"
control_13,pc2,0.26262798009591126,0.4813108387766572,0.06466256194446748,-10.04078213515026,10,15.386689973726433,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13']","[0.009928812176699378, -0.05455610027428436, -0.03994302236327804, 0.04472136317858964, 0.0011372449826308126, 0.11480619922254351, 0.1778800375990547, 0.18321929756268762, 0.05078562220784666, 0.012385643734653728]"
control_13,pc3,0.22501338702794807,0.5160154799109284,-0.10987507701437113,-12.513914054905767,10,14.946317700725771,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13', 'control_13']","[-0.0007173898342025997, -0.03839251253861209, 0.017201220567883778, -0.011205158398187982, -0.043495155377177165, -0.13551189455054258, -0.13728869890199816, -0.14857335657700338, -0.2002217058637809, -0.05823477255993151]"
control_14,pc1,0.2840123027135618,0.3283053129837165,0.1267360006896247,-8.788379920512872,10,15.653139229348355,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14']","[-0.007875309859691766, -0.0768132307207541, 0.014489787726667064, 0.06630993091773371, -0.009320428021399346, 0.10379226120381595, 0.24219297834056214, 0.15450497394419496, 0.1192148991296865, 0.19196535265322662]"
control_14,pc2,0.22673066977408346,0.06684443520702574,-0.4642845978575011,-12.392366894994861,10,14.965838579832266,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14']","[0.0034961738120742303, 0.02309330506532158, 0.020998912258207738, -0.020810018274603773, 0.044338171494734124, -0.05911933196288828, -0.09625814271502538, -0.16726091158749062, -0.22656417988589092, -0.21337517254204413]"
control_14,pc3,0.2140794238411073,-0.04531442048187735,0.480153949474195,-13.311016411513698,10,14.822816012014389,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14', 'control_14']","[0.005973225806579005, 0.04720775905040597, 0.03539815261025644, 0.00968054925333299, 0.003516790256699256, 0.0012501754428338907, -0.014751871104184088, -0.10267921686248964, -0.20585939994107233, -0.1920196774782612]"
control_15,pc1,0.24012879563063155,0.5969479850150317,-0.00829950296267767,-11.473713574781474,10,15.119882714221362,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15']","[0.00917381142917229, 0.027857831067408363, 0.08701560526658118, 0.06974728209028441, 0.08001592304396941, -0.0062289736132534745, 0.05795807800577271, -0.10298111646172556, -0.055642241603204926, -0.054310915363591436]"
control_15,pc2,0.1550359150959323,0.5675361309078693,-0.16090780380019898,-18.47411682510004,10,14.167258676183721,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15']","[-0.009434999422726657, -0.0841978491468604, -0.15186436365228856, -0.16849561838475008, -0.12075410993530955, -0.18178091414408984, -0.18073445492290222, -0.18541948275682582, -0.1748375455081853, -0.1417604259964994]"
control_15,pc3,0.2445140608643393,1.2009645991738194,-0.05420098818917125,-11.184229264114318,10,15.170990630847479,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15', 'control_15']","[-0.00995546536065866, -0.03810645463178783, -0.013916414989496986, -0.08814832549010349, -0.016787921158861643, -0.05344544152002761, -0.1747183334771446, -0.046040519040246974, -0.0645458233299321, 0.0550108717705944]"
control_16,pc1,0.25589473289579756,-4.0034119318913953e-07,27826.19596201684,-10.456305346082873,10,15.305589642301747,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16']","[0.00687274035386251, 0.08763045356668545, 0.005857649626173689, 0.049096805834378206, -0.017527055382138564, 0.06732092504518353, 0.04458043739684592, -0.036564238594934004, -0.10491530429248434, -0.16401985348590392]"
control_16,pc2,0.22391793085883227,0.9391655729265111,-0.018337209825750413,-12.59217487761726,10,14.933848840855287,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16', 'control_16']","[-0.0009981174048528606, 0.053970197372977015, -0.10475589303092142, -0.02261708688715286, 0.006045792154624169, -0.04333048335173259, -0.13271253170706881, 0.003239567759574763, -0.016288489553339357, -0.005021848948059952]"
