Eigvals	0

Proportion explained	0

Species	0	0

Site	7000	3
control_0_t36	-0.023115208616828725	-0.012051319716504194	0.12353700392911371
control_0_t37	0.03899426980756026	-0.041283819485702894	0.08982743223950833
control_0_t38	0.037791814611099206	-0.010492593684936151	0.12021615733541934
control_0_t39	0.037082153530507055	-0.05307369211524832	0.1559890616887944
control_0_t40	0.1052035005898159	-0.013203561338644101	0.07146297889871099
control_0_t41	0.16910619766998397	-0.034898378060288136	0.1036600258594561
control_0_t42	0.05893150918330242	-0.008208255810784753	0.23150969356435153
control_0_t43	0.044143161968884556	0.06566437208519944	0.13936099108246086
control_0_t44	0.09791372173027796	-0.006776930474439488	0.09865522840542565
control_0_t45	0.12982681767788798	-0.05157803201034798	0.09319778275878014
control_0_t46	0.14258856483666843	-0.10941993443335576	0.054854491408783096
control_0_t47	0.13518331495727318	-0.03205190199875191	0.0022582728706135313
control_0_t48	0.12517593150366413	0.022083373323808865	-0.08737186110991846
control_0_t49	0.0975469503594736	0.13448962091796843	-0.08416079477805324
control_0_t50	0.1815810852972531	0.12822676275437203	-0.04673218380298409
control_0_t51	0.18231063301997547	0.02647856125178573	-0.05940026634917335
control_0_t52	0.19695685237498622	0.0720639043735097	-0.02708560224246897
control_0_t53	0.20894628002612706	0.18459447628990572	-0.024026217297209974
control_0_t54	0.07522210196573664	0.14780540149821803	-0.011724452770920876
control_0_t55	0.09490530766658967	0.14630967313442467	0.04507822990408618
control_0_t56	0.1509704641253933	0.17673213340796912	0.020837058642427953
control_0_t57	0.06432753466301343	0.11936404949239897	0.004703521458597582
control_0_t58	-0.015226407850652685	0.017026223541019986	-0.009204509889428452
control_0_t59	-0.04835229524493756	0.08767591251986487	-0.04861550166595109
control_0_t60	-0.08842398969180579	0.08021397965948346	0.019521441246013405
control_0_t61	-0.11516762136543332	0.1136926426841787	0.2038554407351871
control_0_t62	-0.07071564687852375	0.17250190404254925	0.1384766774419555
control_0_t63	-0.15278760223614973	0.06830905360363482	-0.006478887881226358
control_0_t64	-0.08886615443483356	0.1756205001118965	0.06686867704228845
control_0_t65	-0.1582778992955879	0.08543005042254498	0.03538241224469014
control_0_t66	-0.03961328097679792	0.1317511789881159	0.0008956117664632793
control_0_t67	-0.15558949655524895	0.11879142892102967	-0.014493704348095562
control_0_t68	-0.15021875177531913	0.12560360207150656	-0.04146842233022836
control_0_t69	-0.1824148797233137	0.174425161050964	-0.15178886383213525
control_0_t70	-0.20344396276125723	0.17246446718071715	-0.16745887861035175
control_0_t71	-0.19624692074511815	0.16157977045121544	-0.18620431613528501
control_0_t72	-0.21621245268092387	0.04285349127836843	-0.2681482563702665
control_0_t73	-0.08224648443189683	0.12457742090924238	-0.1976676293440292
control_0_t74	-0.05257014094412555	0.13580301617611762	-0.22829769724066962
control_0_t75	-0.0683611003851319	0.020995823109582618	-0.08373314612396379
control_0_t76	-0.10238778368877341	0.014129104897988031	-0.003868686067064392
control_0_t77	-0.06992103714439428	-0.004255186107789667	-0.004938850074206193
control_0_t78	-0.026180361982956965	-0.0722170114541914	0.016166371401041678
control_0_t79	-0.05259854456095221	-0.18629556315408072	-0.03338371200602041
control_0_t80	-0.05591337257283849	-0.16099260185176117	-0.004414386871646095
control_0_t81	-0.040269322047472356	-0.17023643850406656	0.08833134107792279
control_0_t82	-0.10989982266178229	-0.17004367994142455	0.11684925122664784
control_0_t83	-0.18114306620936788	-0.07656731359632415	0.1321810966444388
control_0_t84	-0.12700748221424887	-0.05164816099292148	0.16802705527617193
control_0_t85	-0.1210188553396842	-0.09028677859074259	0.119175505844757
