Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Treatment,x
destabilizing_treatment_19,pc3,0.2321942758212323,0.46548650067751063,-0.011244909344499423,-12.011437710450883,10,15.028281323252688,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0003307149569411849, 0.039707299372427445, 0.009531054413483602, 0.06749792657296061, 0.09326321488474588, -0.020689691819317776, -0.08288982801149833, -0.026556922657845712, -0.026825150626611578, -0.07842902931198947]"
destabilizing_treatment_20,pc1,0.20677642161103177,0.820326979780613,0.11747692944422147,-13.866300346725641,10,14.74107707810655,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.004425563313412, 0.08267610979331437, 0.04379934037105195, 0.1144047272990878, 0.08165800312138585, 0.03433314339865906, 0.15950215682925759, 0.18057900830540752, 0.11013613163670534, 0.1386148774821582]"
destabilizing_treatment_20,pc2,0.24034251713469917,0.0040015776670932,-3.324880635221844,-11.459521382625287,10,15.122358107508754,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.005388100318290654, 0.09745026407158468, 0.004758283686191522, -0.02948139077869235, -0.038824121478963296, -0.139382837941256, -0.19764922190631448, -0.24073401081045506, -0.22495377871466707, -0.20103021168124116]"
destabilizing_treatment_20,pc3,0.15088350686416163,0.9165831493597852,-0.0428994085040411,-18.908481005253563,10,14.120778896294201,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0019515965851321093, -0.06162466125502683, -0.07030636070813102, -0.0836067464872499, -0.040589578230612794, -0.060805844586381164, -0.01430212640750321, -0.03114074196967335, -0.01405576890843499, -0.03453425993275272]"
destabilizing_treatment_21,pc1,0.19963590586116034,0.6934623513114608,0.09172859941140932,-14.428559659453928,10,14.661580895791595,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.006593896490164499, -0.005743036212122863, -0.07535837678886646, 0.05802013799972726, 0.12791182298337478, 0.06077094833721752, 0.07866561028786088, 0.11819070671494653, 0.14665045109791375, 0.08022554539599978]"
destabilizing_treatment_21,pc2,0.2194974915903966,0.46961673768320744,-0.03712363462813727,-12.911144404342192,10,14.883818308544331,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.006542683615984169, -0.011919184891927616, -0.012231114209806266, -0.046683455198810044, -0.14319914639911288, -0.10837931737795922, -0.03738242423862137, 0.03211489154305473, -0.007340693420780087, 0.015423009177771993]"
destabilizing_treatment_21,pc3,0.24926585652219785,0.1947992518883414,0.007886745254878529,-10.876213081045792,10,15.226843763127722,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.008846396692648346, 0.12730805752238586, 0.04899906896350352, 0.09474473646636772, 0.09675776018965404, -0.011378288251104277, -0.06771964066153921, -0.09375090037749592, -0.06943727892973675, -0.05854355448006137]"
destabilizing_treatment_22,pc1,0.24180460588681663,0.3662449110692904,0.031141647984901308,-11.362365082415874,10,15.13938682900339,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.009219543208758429, -0.09779904744140479, -0.2098062967455379, -0.08792250765770362, -0.12819151947429946, -0.030844807422524934, -0.02336561087392193, 0.04655375238114817, 0.05779490189167296, 0.1110191342429471]"
destabilizing_treatment_22,pc2,0.1873610341567393,0.05599446516412161,0.7576221005095575,-15.44395913370067,10,14.525564135394077,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0051160421817665405, 0.026538473685306818, 0.02524393519797505, 0.041167842374444416, 0.1417899431606491, 0.15453795935892184, 0.16849079723539384, 0.1738599899137879, 0.2656248414298058, 0.28856240298413777]"
destabilizing_treatment_22,pc3,0.20455878380855014,-0.09099912749231928,-0.3998493562718568,-14.038838610575759,10,14.716344649736577,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0006729518230979315, 0.04226104194056183, 0.0021814955935260186, 0.023077522487446638, 0.01803039096892278, 0.13739251116506965, 0.12870161555719548, 0.16835983156242876, 0.2161379299762839, 0.3148836060244294]"
