Eigvals	0

Proportion explained	0

Species	0	0

Site	300	3
control_1_t14	-0.07701876856305127	-0.04228922473597432	0.1075771831534183
control_1_t15	0.019466484824157804	0.023222290245068458	0.07322320651114389
control_1_t16	0.11658923975272402	0.031962709607348525	-0.05561426593211974
control_1_t17	0.09696368153658774	-0.023890380037463792	-0.1050341738369064
control_1_t18	0.1523440933139409	0.05105736629713673	-0.15547591903062152
control_1_t19	0.1348457568421575	0.012678818182928604	-0.18421181138816273
control_1_t20	-0.032229262705807116	0.00587474608931816	-0.18007752563434787
control_1_t21	0.04976912239535698	0.03407581858493922	-0.0687454861630655
control_1_t22	0.11374458524088012	0.08294324060072181	-0.08901333882144313
control_1_t23	0.12816043580974332	0.07647317727611064	0.04499417700124367
control_1_t24	0.05957688787830134	0.00010000373532852158	0.09009024056866438
control_1_t25	0.0517937363459552	-0.09167555575461776	-0.012376226321956452
control_1_t26	0.15043711415883038	-0.0778145288890925	0.04324603954223527
control_1_t27	0.11751896142418966	-0.07194042375177451	-0.02067154451694528
control_1_t28	0.14785966759357994	-0.008775756648717437	-0.02439373530391298
control_1_t29	0.1062399538037156	-0.004199191738613367	-0.1465729891343771
control_1_t30	0.17380402264614386	-0.026820433463954324	-0.04188097370737619
control_1_t31	0.07775803820666141	0.03712313405441389	-0.14175179253614614
control_1_t32	0.06621049342074045	-0.010051573309691163	-0.038870011764764706
control_1_t33	-0.046209753793340066	-0.12423016642379375	0.030597706603037303
control_1_t34	-0.04967080814841333	-0.07414618855994101	-0.10600379566774461
control_1_t35	-0.07118596936751467	0.00816232357091283	-0.11496155584547825
control_1_t36	-0.12582137030143473	0.22449002839616766	-0.04250571858615361
control_1_t37	-0.05949049117945829	0.12836519613773076	0.0044127503943517665
control_1_t38	-0.03304897198082969	0.1550924166991705	-0.03690653983293574
control_1_t39	-0.0205438051639433	0.16768239083574696	-0.008661500359241348
control_1_t40	-0.003673537453797577	0.162958879236177	0.02331039715100669
control_1_t41	-0.016038004907613267	0.06283869138656203	-0.004624207091602162
control_1_t42	-0.029727917181971347	0.07416051923180772	-0.05022918648933856
control_1_t43	0.07385157450190293	0.03705534701881227	-0.12018719501914404
control_1_t44	0.08860390811550102	0.06199731064996297	-0.07742715965501039
control_1_t45	0.09373083042542665	0.003721882977904635	-0.1119335064054762
control_1_t46	0.03458532805144883	-0.12526219138307973	-0.12465023858560625
control_1_t47	0.11062957327545668	-0.16673134579221624	-0.14084226599351166
control_1_t48	0.18107657171201008	-0.051148584105740205	-0.07148758212490333
control_1_t49	0.15969358663092506	-0.09313328893165204	-0.0015089738966096028
control_2_t0	0.00216493582682415	0.007389725632032558	0.009280421705913493
control_2_t1	-0.15909249224065042	-0.007516271791296977	-0.10202771723272262
control_2_t2	-0.20068712331368976	-0.07440104952085987	-0.07877454670446332
