Eigvals	0

Proportion explained	0

Species	0	0

Site	700	3
control_4_t0	0.007254881679835667	-0.006765969195865997	-0.006294234970724184
control_4_t1	-0.011578353792983855	-0.0719959644831805	-0.031915130762039404
control_4_t2	0.09555153957662607	0.05969887381491469	-0.010066593390011078
control_4_t3	0.1193729485764094	0.1187734302948023	0.07838701816951743
control_4_t4	0.08592103523333267	0.2106609105295088	0.06375449388700516
control_4_t5	0.06699716118825531	0.1665706609388711	0.12275707005376657
control_4_t6	0.032663838403596754	0.08496301599114381	-0.007902454573856077
control_4_t7	-0.011159004145669185	-0.002148524787209047	-0.08376608406381347
control_4_t8	0.05696310582275853	-0.14385647458747547	-0.17029924563543808
control_4_t9	-0.019278590557972305	-0.08024990066262094	-0.03542522400872211
control_5_t0	0.000529576138930572	0.0032789439437419256	-0.009349997717804351
control_5_t1	-9.773622863610827e-05	0.09306663432247779	-0.05377738207900618
control_5_t2	0.033473925284355416	0.048484378248899784	-0.010208423355399253
control_5_t3	0.09535135662151722	0.08208516496813079	-0.0487371831194019
control_5_t4	0.05797324809855707	0.09684387442949134	0.04936141066802772
control_5_t5	0.1105959315511318	0.15110137955668956	-0.020975345757069407
control_5_t6	0.20767035973984035	0.08830671341949117	-0.007103548631172503
control_5_t7	0.23982125173979968	0.061686372459912535	0.04432542565946442
control_5_t8	0.14328774141888262	0.1186953738600779	-0.02144887206151195
control_5_t9	0.13320794706015304	0.03593422943202172	-0.04656554946433361
control_6_t0	-0.001967313962587942	0.00011035659345576488	-0.00742931499802304
control_6_t1	-0.12021986976876678	0.02202735200900968	0.008264953385249104
control_6_t2	-0.1786082942460007	-0.042614100074873	0.033467918572000335
control_6_t3	-0.06538337271342673	-0.13894690410606167	0.06909465200299914
control_6_t4	-0.13887519454053066	-0.20682497704271946	0.028954536696714342
control_6_t5	-0.18404544405892165	-0.10627693642601835	0.0020464473799533048
control_6_t6	-0.07514584122685894	-0.09467793424664553	-0.08660684211105696
control_6_t7	-0.02149359188595433	-0.11802585362569748	-0.01987357389372782
control_6_t8	0.03919286782640408	-0.1508550562027189	-0.06802638230079666
control_6_t9	-0.09019247467151012	-0.12061509762219766	-0.06896557798094631
control_7_t0	0.0001487885305873049	0.005374483735004276	0.0034251848094902005
control_7_t1	0.09071829482411109	-0.028813279323258164	0.01739301699744916
control_7_t2	0.10490717045938042	-0.15225999303866003	0.04775013706208951
control_7_t3	0.129832029419828	-0.17057896883334228	-0.03348266553273327
control_7_t4	0.023274591954531604	-0.03965681035021462	0.00589129440058897
control_7_t5	0.11923112411662977	-0.09685848859782067	-0.08501406466767479
control_7_t6	0.2635983533196812	0.017345014931999456	-0.16582452761368888
control_7_t7	0.14556191444264366	-0.014240823250030628	-0.08105349984966059
control_7_t8	0.190209293273371	0.0263345717682677	-0.1032339364576535
control_7_t9	0.26293093366060094	0.009426186662550032	-0.09138941142255302
control_8_t0	0.0028804338837922637	-0.007450248450632926	0.0007934611711590112
