Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Treatment,x
destabilizing_treatment_16,pc1,0.16905410324477899,0.6819975494818309,0.03688105690459859,-17.089101449700195,10,14.323118163606022,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.006194798279493601, 0.052304927952602234, 0.04238820366899107, 0.08187956577956071, 0.01952516413875747, -0.009423419354266042, -0.00023812190155479522, 0.01589715107617562, 0.03951851815118811, 0.0640085581794838]"
destabilizing_treatment_16,pc2,0.24268715575553018,0.3104785877312761,-0.2606659879147974,-11.304266309058905,10,15.149639592122668,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.00482856971759946, -0.08011653587543491, -0.1225966883732034, -0.055308526940422556, -0.1575102065183267, -0.18617949303512643, -0.2176002853951725, -0.3423454907674332, -0.2765271446413878, -0.2715930984446918]"
destabilizing_treatment_16,pc3,0.2226523026330371,0.14715531759475808,-0.1076275260476745,-12.682796333137764,10,14.919507088599504,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.005453551828206207, 0.04078328636804003, -0.015809630403916183, 0.05421768693695721, -0.029562079514398654, -0.037193614012419864, -0.09731835849819273, -0.10207036561328844, -0.153857250408567, -0.1317964825947024]"
destabilizing_treatment_17,pc1,0.21463280026510462,0.35253144236528655,-0.19334698228670294,-13.269827968873134,10,14.829014231306036,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0017460717891148404, -0.0651032240733473, -0.16026894568816025, -0.16809199612331632, -0.15769803770454113, -0.08058830860608182, -0.11092449412687724, -0.21831341802617554, -0.20957408996154175, -0.2518724195478132]"
destabilizing_treatment_17,pc2,0.2567792236778925,0.446528392382642,-0.14100935191067426,-10.401020977031886,10,15.316192055605335,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.004363162339364975, -0.02925525274615773, -0.05267716189640939, 0.038054961199324444, -0.11940813671131889, -0.1448564980996884, -0.14467029001556972, -0.1049307320067081, -0.21335090169997778, -0.1983091175596847]"
destabilizing_treatment_17,pc3,0.21295275537454988,0.350604411092726,-0.1873327632922968,-13.39540076806903,10,14.81017715644451,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.000317010662882522, -0.0354771209335066, -0.08513009684484651, -0.13250867540071196, -0.13844223595484373, -0.13885890243458537, -0.19382269172317318, -0.2637005597378326, -0.26272550857997096, -0.14883028405263352]"
destabilizing_treatment_18,pc1,0.16986417684436528,0.6478554473348519,0.02874568776727386,-17.012570076735752,10,14.332095025797493,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0032588446631901923, -0.013557347745348418, 0.025589030206992963, 0.041811072731150374, -0.012710512219653539, 0.03103394708609941, 0.00438856635793634, 0.03391451700865004, 0.047476992683323616, 0.07816830644651947]"
destabilizing_treatment_18,pc2,0.23092407767040973,1.2013352858834956,-0.004212209988814591,-12.099142556857391,10,15.013730825955696,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[0.0063907030353971385, 0.08279903093102815, -0.04519473213216531, 0.022475082166341434, -0.05744911128011612, 0.04507169220280702, -0.020695367858725472, -0.09876168354641603, -0.004952617343607857, 0.021856769180966143]"
destabilizing_treatment_18,pc3,0.26211846437601716,0.37892797054392036,-0.1277500901133299,-10.071768803123831,10,15.380527315874467,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.0022585139566844536, -0.017647368717551452, -0.23476983176343108, -0.21307032171120022, -0.16148873308272232, -0.18282138649847712, -0.23804011223095345, -0.22500174671984666, -0.241172461703663, -0.03877910269726148]"
destabilizing_treatment_19,pc1,0.25924339895050985,0.6987215796177806,-0.02067844374888801,-10.248317349748724,10,15.345772937783199,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.004636992341170743, 0.10071582477808534, -0.06604780899968353, 0.008649638366611659, 0.037514941855461365, -0.05815686079762267, -0.13212962897304747, -0.021999578109628784, -0.04881248187071485, -0.08741988359727132]"
