Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer
control_26,pc1,0.260325422,0.240488698,-0.012139158,-124.7252283,100,190.3477737,basinhopping
control_26,pc2,0.245019876,0.240105772,-0.039394573,-136.6011367,100,190.1658695,basinhopping
control_26,pc3,0.273340983,0.165573396,0.039355366,-115.1636839,100,190.5072911,basinhopping
control_27,pc1,0.247124095,0.124962161,0.010801055,-134.9244596,100,190.1905699,basinhopping
control_27,pc2,0.251903796,0.364191452,5.52E-07,-131.1707762,100,190.2469998,basinhopping
control_27,pc3,0.254426948,0.145823399,-0.014288077,-129.2188538,100,190.276985,basinhopping
control_28,pc1,0.239614315,0.348944575,-0.006914973,-140.9748389,100,190.1028371,basinhopping
control_28,pc2,0.254439283,0.277953235,-0.028289717,-129.2077451,100,190.2771569,basinhopping
control_28,pc3,0.249041606,0.133526818,0.07064874,-133.410745,100,190.2131346,basinhopping
control_29,pc1,0.251449534,0.132172833,0.000806619,-131.5240937,100,190.2416199,basinhopping
control_29,pc2,0.255876909,0.233173655,-0.032561847,-128.1031314,100,190.2943287,basinhopping
control_29,pc3,0.267002098,0.221081404,0.030480101,-119.76285,100,190.4289729,basinhopping
control_30,pc1,0.251490403,0.330067018,0.055546167,-131.4914739,100,190.242116,basinhopping
control_30,pc2,0.239056033,0.200598808,0.009548957,-141.4336126,100,190.0963391,basinhopping
control_30,pc3,0.237433697,0.330641533,-0.042396535,-142.7660635,100,190.0775853,basinhopping
control_31,pc1,0.260681668,0.280547879,-0.044689281,-124.4563095,100,190.3520905,basinhopping
control_31,pc2,0.251575103,0.325431893,0.016231008,-131.4255222,100,190.2431194,basinhopping
control_31,pc3,0.242895207,0.321037648,-0.024551812,-138.3095986,100,190.1410107,basinhopping
control_32,pc1,0.246552836,0.266078391,0.003821793,-135.3781968,100,190.1838554,basinhopping
control_32,pc2,0.243528071,0.200465643,0.000369367,-137.7977656,100,190.1484257,basinhopping
control_32,pc3,0.248544889,0.467089146,-0.027122863,-133.8021405,100,190.2072757,basinhopping
control_33,pc1,0.252799309,0.246207773,0.028784408,-130.4760784,100,190.2576202,basinhopping
control_33,pc2,0.249535118,0.185018596,0.002676896,-133.0226305,100,190.2189615,basinhopping
control_33,pc3,0.246697049,0.240300435,-0.060397529,-135.2648856,100,190.1855301,basinhopping
